"","s0","s0","s0","s0","s0","s0"
"40",0.0898283157844558,0.0901046356801182,0.0906699295817377,0.0904778927712554,0.0910033257979112,0.0906084372622696
"41",0.0932297074340062,0.0934872130585711,0.094032224103134,0.0938164226626758,0.0943159340420003,0.0938949061274969
"42",0.0965664136755636,0.0968050821670354,0.0973296423256046,0.097090315777914,0.0975637812676553,0.0971169650996766
"43",0.0998369938361768,0.100056806446662,0.100560750674561,0.100298146455173,0.100745446543398,0.100273202838749
"44",0.103040007242895,0.103240949338603,0.103724115575415,0.103438489032656,0.103859508937751,0.103362208004654
"45",0.106174013222766,0.106356074284007,0.106818303453578,0.106509917848565,0.106904547519236,0.106382569257331
"46",0.10923757110284,0.109400744724027,0.109841880734461,0.109511007241104,0.109879141356376,0.109332875256722
"47",0.112229240210165,0.112373524099813,0.112793413843476,0.112440331548476,0.112781869517691,0.112211714662765
"48",0.115147579871791,0.115272975852516,0.115671469206034,0.115296465108883,0.115611311071705,0.115017676135402
"49",0.117991149414765,0.118097663423287,0.118474613247547,0.118077982260529,0.11836604508694,0.117749348334571
"50",0.120758508166137,0.120846150253277,0.121201412393427,0.120783457341616,0.121044650631916,0.120405319920214
"51",0.123448215452955,0.123516999783636,0.123850433069084,0.123411464690347,0.123645706775158,0.12298417955227
"52",0.126058830602269,0.126108775455516,0.126420241699931,0.125960578644927,0.126167792585186,0.125484515890679
"53",0.128588912941126,0.128620040710068,0.128909404711379,0.128429373543556,0.128609487130522,0.127904917595382
"54",0.131037021796577,0.131049358988442,0.131316488528839,0.130816423724438,0.130969369479689,0.130243973326318
"55",0.13340171649567,0.13339529373179,0.133640059577723,0.133120303525777,0.13324601870121,0.132500271743428
"56",0.135681556365453,0.135656408381262,0.135878684283443,0.135339587285775,0.135438013863605,0.134672401506652
"57",0.137875100732976,0.137831266378009,0.13803092907141,0.137472849342636,0.137543934035397,0.13675895127593
"58",0.139980952113625,0.139918477534607,0.140095411460273,0.139518716774162,0.139562416233302,0.138758568714038
"59",0.141997925035608,0.141916878552575,0.142070997864061,0.141476073288489,0.141492378377784,0.140670187286074
"60",0.143925069805997,0.143825554717768,0.143956822044539,0.143344076643083,0.143333033123891,0.142493039140379
"61",0.145761649796652,0.14564381061765,0.145752246447542,0.14512211594357,0.145083834779526,0.144226599100827
"62",0.147507117386982,0.147371139273648,0.147456821919482,0.146809766918682,0.146744424107514,0.145870526439176
"63",0.149161086970337,0.149007188358856,0.149070244222689,0.148406744564061,0.148314570135996,0.147424604243156
"64",0.150723305669801,0.150551724418583,0.150592308277712,0.149912854633335,0.149794110518609,0.148888678161517
"65",0.152193611490318,0.152004589208843,0.152022861098447,0.151327946658259,0.15118290080937,0.150262605913783
"66",0.153571859628403,0.153365638339663,0.153361758594871,0.152651877344132,0.152480798189029,0.151546245644749
"67",0.154857905280571,0.154634727421071,0.154608856676964,0.153884503396257,0.153687659838335,0.152739455499208
"68",0.156051603643337,0.155811712063095,0.155764011254704,0.155025681519935,0.15480334293804,0.153842093621953
"69",0.157152809913216,0.156896447875762,0.15682707823807,0.156075268420466,0.155827704668893,0.154854018157778
"70",0.158161379286723,0.157888790469101,0.15779791353704,0.157033120803154,0.156760602211646,0.155775087251476
"71",0.159077166960373,0.158788595453138,0.158676373061594,0.157899095373297,0.157601892747048,0.15660515904784
"72",0.159900028130682,0.159595718437901,0.159462312721709,0.158673048836198,0.15835143345585,0.157344091691664
"73",0.160629817994164,0.160310015033418,0.160155588427364,0.159354837897159,0.159009081518802,0.157991743327743
"74",0.161266391747334,0.160931340849717,0.160756056088539,0.15994431926148,0.159574694116655,0.158547972100868
"75",0.161809604586708,0.161459551496824,0.16126357161521,0.160441349634462,0.160048128430159,0.159012636155833
"76",0.162259311708801,0.161894502584769,0.161677990917359,0.160845785721407,0.160429241640065,0.159385593637432
"77",0.162615368310127,0.162236049723577,0.161999169904962,0.161157484227616,0.160717890927122,0.159666702690458
"78",0.162877629587202,0.162484048523278,0.162226964487999,0.161376301858391,0.160913933472082,0.159855821459706
"79",0.163045950944037,0.162638354816687,0.162361230821922,0.161502095572416,0.161017226734102,0.159952808373442
"80",0.163120189421156,0.162698826190147,0.162401826988997,0.161534724315907,0.161027630351014,0.159957524077232
"81",0.163100206225223,0.162665324670503,0.162348615916993,0.161474052023446,0.160945009395685,0.159869834740735
"82",0.162985866959943,0.162537716894816,0.162201465457429,0.161319947662051,0.160769234318878,0.159689611972914
"83",0.162777041185499,0.162315873543107,0.161960247638862,0.161072284405348,0.160500179924593,0.159416731740956
"84",0.162473601944672,0.161999668734411,0.161624837881609,0.160730938766159,0.160137724300759,0.159051073245889
"85",0.162075425235929,0.161588979371541,0.161195114155762,0.160295789685894,0.159681747700158,0.158592517760793
"86",0.161582389393395,0.161083684419409,0.160670956100385,0.159766717614802,0.159132131443424,0.158040947511832
"87",0.160994374134076,0.160483663985561,0.160052244142607,0.159143603663953,0.158488757115115,0.157396244899912
"88",0.160311259420943,0.159788798375755,0.159338858836837,0.158426329047048,0.157751506323067,0.156658292332024
"89",0.159532925216966,0.158998967895749,0.158530680737481,0.15761477497779,0.15692026067511,0.15582697221516
"90",0.158659251485119,0.158114052851303,0.157627590398947,0.156708822669882,0.15599490177908,0.15490216695631
"91",0.157690118188372,0.157133933548175,0.156629468375644,0.155708353337025,0.154975311242808,0.153883758962467
